survey_date,response_date,total_spend,spend_reported,seating_segment,member_segment,feedback,has_feedback,primary_theme,sentiment
57:48.0,50:56.0,199.0,true,Floor/Pit,UNKNOWN,More bars!,true,Other / unclassified,positive
00:18.0,25:59.0,379.85,true,General,UNKNOWN,"Traffic sucked, and the parking was horrible,  normally we use mass tansit, but due to a medical need of one of our parties we had to drive in, never again",true,Parking and transportation,negative
10:37.0,44:49.0,720.0,true,General,YES,More vendors,true,Other / unclassified,neutral
57:48.0,57:12.0,99.5,true,Floor/Pit,UNKNOWN,"I had pit seating, no one mentioned to me on my way in I needed a wrist band to get to the pit, (my own fault for not knowing) and then spent the next 30 minutes looking for a member of the staff who could help. Everyone pointed me in a different directions and none of the places were right. I finally found the customer service section and they finally helped me out. Barely made it into the pit on time for the show.",true,Staff and service,negative
28:03.0,46:40.0,199.5,true,Floor/Pit,UNKNOWN,Better friendly staff,true,Staff and service,positive
28:03.0,39:03.0,99.5,true,General,UNKNOWN,Food prices should be way lower,true,Food and beverage,negative
28:03.0,50:11.0,299.0,true,General,UNKNOWN,I think that everything went pretty smoothly at the event. The biggest issue I had was with food prices at the venue.,true,Food and beverage,positive
19:30.0,44:12.0,51.76,true,General,YES,Small as lanyard.. It's wack!,true,Other / unclassified,negative
10:37.0,35:11.0,489.6,true,General,YES,Need healthier food options on the west side of the stands.,true,Food and beverage,neutral
57:48.0,26:09.0,398.0,true,Floor/Pit,UNKNOWN,The GA Pit Entry into the facility was a little bit of mess. I think the signage could have been better and the 2 ticket checkpoints to get into the facility and to get your wrist band was a little redundant. The process could have been streamlined a little bit better. With 2 checkpoints (security and tickets/wristbands) instead of 3.,true,Entry and wayfinding,negative
28:03.0,07:10.0,79.5,true,General,UNKNOWN,no,false,Other / unclassified,neutral
40:57.0,40:17.0,,false,Unknown,NO,Better concessions options and more evenly spread out.,true,Other / unclassified,neutral
40:57.0,57:13.0,210.28,true,General,YES,No,false,Other / unclassified,negative
33:06.0,32:44.0,,false,Premium,UNKNOWN,"We love ACFC! Wish we had more food options/a sweet option, but it wonâ€™t stop us from coming back!",true,Food and beverage,positive
40:57.0,01:17.0,,false,Unknown,NO,,false,Other / unclassified,
33:06.0,22:29.0,,false,General,UNKNOWN,No,false,Other / unclassified,neutral
33:06.0,22:53.0,,false,General,UNKNOWN,"Really love what ACFC is building. Would loved to get more involved as a team. As a semi retired Olympian that has, as a woman had to bootstrap the cash to compete, I am excited to see the support for this team really come together",true,Other / unclassified,positive
40:57.0,21:32.0,952.12,true,Premium,YES,Really happy that our team stands for the National Anthem. You have done a great job of celebrating items like pride month separate from the Anthem.,true,Other / unclassified,positive
40:57.0,10:58.0,80.54,true,General,YES,Please reopen the coffee cart on the western concourse. Thanks!,true,Other / unclassified,neutral
26:53.0,16:47.0,,false,Unknown,UNKNOWN,"You guys have a great venue and although I am not an LAFC fan. I believe that there are a-lot of great things that BMO does to stand out amongst the rest. I noticed that vendors selling beer were walking down the walkways during the match. I appreciated that I could grab a beer while catching the match and didn't have to leave my seat. Truthfully, I was ready to buy two more drinks throughout the start and middle of the second half. Yet, I never sported another vendor making their way back to my section and I opted to just stay in my seat and catch every second of the game vs. running up the stairs and waiting in a line to buy another two beers.",true,Food and beverage,
33:06.0,32:20.0,,false,Unknown,UNKNOWN,Your security did not let me bring in a Washington sign . My gf is the Angel city fan and I go for Washington I was told no sign . While plenty others brought in a sign. The community should be respectful to other teams fans,true,Entry and wayfinding,negative
26:53.0,31:38.0,,false,Unknown,UNKNOWN,Please 5 game packages available,true,Other / unclassified,neutral
33:06.0,50:53.0,,false,General,UNKNOWN,More communication with season ticket holders. The renewal emails went into spam eliminating my opportunity to upgrade. Please bring back kettle one vodka. Thank you,true,Other / unclassified,negative
33:06.0,26:17.0,,false,General,UNKNOWN,"In stadium entertainment, announcements, etc were great.",true,Other / unclassified,
33:06.0,19:51.0,,false,Premium,UNKNOWN,The lot we park in with our season parking passes was closed. That was not communicated to us. We got routed to a general admission lot that we eventually pulled out of line for and managed to go all the way back around the stadium and get to the other green lot entrance. That took about a half hour and could have been avoided had there been communication that the lot was closed. It was avoidable frustration had there been better communication.,true,Parking and transportation,negative
33:06.0,49:05.0,,false,General,UNKNOWN,"Parking is such a mess and just when I figure it out, it changes. We had an app to reserve parking before and they stopped that. And they moved the parking this week and we barely made it in by kickoff. It really makes it all so stressful.",true,Parking and transportation,negative
